,Diện tích sử dụng,Diện tích đất,Phòng ngủ,Nhà tắm,Pháp lý,Ngày đăng,Mã BĐS,address,price
61,,50 m2 (5x10),2.0,2.0,Sổ hồng,18/07/2023,22262012," Bình Thới, Phường 14, Quận 11, TPHCM",1 tỷ 870 triệu
62,1 m2,,2.0,2.0,Sổ hồng,18/07/2023,22255043," Võ Văn Kiệt, Phường 16, Quận 8, TPHCM",1 tỷ 360 triệu
63,70 m2,,2.0,2.0,Sổ hồng,18/07/2023,22263010," Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",1 tỷ 630 triệu
64,,"50,5 m2",2.0,2.0,Sổ hồng,18/07/2023,22248034," Đặng Văn Bi, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1 tỷ 360 triệu
65,49 m2,49 m2 (7x7),2.0,1.0,Sổ hồng,18/07/2023,21948922," Thi Sách, Phường Thắng Tam, TP. Vũng Tàu, Bà Rịa - Vũng Tàu",2 tỷ 400 triệu
66,,60 m2 (1x1),4.0,4.0,Sổ hồng,18/07/2023,22246585," Mễ Cốc, Phường 15, Quận 8, TPHCM",2 tỷ 75 triệu
67,,"54 m2 (4x13,5)",3.0,2.0,Sổ hồng,18/07/2023,22234271," Trịnh Đình Trọng, Phường 5, Quận 11, TPHCM",1 tỷ 970 triệu
68,,64 m2 (4x16),3.0,2.0,Sổ hồng,17/07/2023,22174543," Ngô Gia Tự, Phường 2, Quận 10, TPHCM",1 tỷ 200 triệu
69,,"56 m2 (5x11,2)",4.0,5.0,Sổ hồng,18/07/2023,22247378," Quang Trung, Phường 10, Quận Gò Vấp, TPHCM",2 tỷ 690 triệu
70,60 m2,,2.0,2.0,Sổ hồng,18/07/2023,22258757," Nam Kỳ Khởi Nghĩa, Phường 6 (Phường Võ Thị Sáu), Quận 3, TPHCM",1 tỷ 470 triệu
71,90 m2,,3.0,3.0,Sổ hồng,18/07/2023,22241026," Tôn Đản, Phường 13, Quận 4, TPHCM",2 tỷ 115 triệu
72,750 m2,247 m2 (16x16),6.0,6.0,Sổ hồng,18/07/2023,22263050," Xô Viết Nghệ Tĩnh, Phường 17, Quận Bình Thạnh, TPHCM",30 tỷ 800 triệu
73,1 m2,,2.0,1.0,Không xác định,18/07/2023,22238442," Đường số 9A, Xã Bình Hưng, Huyện Bình Chánh, TPHCM",2 tỷ 349 triệu
74,1 m2,,2.0,2.0,Sổ hồng,18/07/2023,22240864," Cao Lỗ, Phường 4, Quận 8, TPHCM",1 tỷ 800 triệu
75,77 m2,,2.0,2.0,Sổ hồng,18/07/2023,22230598," Kinh Dương Vương, Phường An Lạc A, Quận Bình Tân, TPHCM",1 tỷ 540 triệu
76,,58 m2,3.0,3.0,Sổ hồng,18/07/2023,22256293," Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, TPHCM",2 tỷ 120 triệu
77,92 m2,,3.0,2.0,Sổ hồng,18/07/2023,22243815," Lữ Gia, Phường 15, Quận 11, TPHCM",2 tỷ 390 triệu
78,79 m2,,2.0,2.0,Sổ hồng,18/07/2023,22251215," Xa Lộ Hà Nội, Phường An Phú, Quận 2 (TP. Thủ Đức), TPHCM",1 tỷ 762 triệu
79,,51 m2,4.0,3.0,Sổ hồng,18/07/2023,22257972," Đường 3/2, Phường 12, Quận 10, TPHCM",2 tỷ 780 triệu
80,77 m2,,2.0,2.0,Sổ hồng,18/07/2023,22248740," Tạ Quang Bửu, Phường 6, Quận 8, TPHCM",1 tỷ 660 triệu
81,92 m2,,3.0,2.0,Sổ hồng,18/07/2023,22262918," Tạ Quang Bửu, Phường 6, Quận 8, TPHCM",1 tỷ 650 triệu
82,,56 m2 (4x14),3.0,2.0,Sổ hồng,18/07/2023,22238704," Lê Đại Hành, Phường 11, Quận 11, TPHCM",1 tỷ 980 triệu
83,2100 m2,317 m2 (13x30),11.0,11.0,Sổ hồng,18/07/2023,22161784," Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, TPHCM",330 tỷ
84,1 m2,,2.0,2.0,Sổ hồng,18/07/2023,22259801," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",1 tỷ 570 triệu
85,65 m2,,2.0,2.0,Sổ hồng,18/07/2023,22238397," Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM",2 tỷ 70 triệu
86,,"44,8 m2 (3,2x14)",2.0,3.0,Sổ hồng,18/07/2023,22197131," Đường số 30, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1 tỷ 725 triệu
87,,90 m2 (1x1),3.0,3.0,Sổ hồng,18/07/2023,22231490," Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, TPHCM",1 tỷ 823 triệu
88,150 m2,"50 m2 (4,5x11,1)",3.0,3.0,Sổ hồng,18/07/2023,22180372," Lý Phục Man, Phường Bình Thuận, Quận 7, TPHCM",2 tỷ 113 triệu
89,,58 m2,2.0,2.0,Sổ hồng,18/07/2023,22249041," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",1 tỷ 830 triệu
90,1 m2,,2.0,2.0,Hợp đồng mua bán,18/07/2023,22259797," Hoàng Minh Giám, Phường 9, Quận Phú Nhuận, TPHCM",1 tỷ 670 triệu
91,83 m2,,2.0,2.0,Sổ hồng,18/07/2023,22238424," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",2 tỷ 770 triệu
92,,"43 m2 (3,8x11,3)",2.0,2.0,Sổ hồng,18/07/2023,22197172," Trần Nguyên Hãn, Phường 13, Quận 8, TPHCM",1 tỷ 624 triệu
93,300 m2,,5.0,2.0,Sổ hồng,18/07/2023,22177066," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",16 tỷ
94,162 m2,"54,8 m2 (5x11)",3.0,3.0,Sổ hồng,18/07/2023,22180586," Bưng Ông Thoàn, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), TPHCM",1 tỷ 973 triệu
95,,55 m2 (5x11),3.0,3.0,Sổ hồng,18/07/2023,22248974," Nguyễn Đình Chiểu, Phường 1, Quận 3, TPHCM",1 tỷ 223 triệu
96,78 m2,,2.0,2.0,Sổ hồng,18/07/2023,22166898," Tô Hiến Thành, Phường 14, Quận 10, TPHCM",2 tỷ 115 triệu
97,"71,3 m2",,2.0,2.0,Sổ hồng,18/07/2023,22253763," Nguyễn Thị Định, Phường An Phú, Quận 2 (TP. Thủ Đức), TPHCM",2 tỷ 250 triệu
98,81 m2,,2.0,2.0,Sổ hồng,18/07/2023,22243197," Tạ Quang Bửu, Phường 6, Quận 8, TPHCM",1 tỷ 420 triệu
99,,"104 m2 (6,6x16)",6.0,4.0,Sổ hồng,18/07/2023,21793185," Nguyễn Văn Trỗi, Phường 8, Quận Phú Nhuận, TPHCM",40 tỷ
100,1 m2,,2.0,2.0,Sổ hồng,18/07/2023,22248710," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",1 tỷ 799 triệu
101,48 m2,,2.0,1.0,Sổ đỏ,18/07/2023,21703493," Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",610 triệu
102,,60 m2 (4x15),2.0,2.0,Sổ hồng,18/07/2023,22247396," Thống Nhất, Phường 15, Quận Gò Vấp, TPHCM",1 tỷ 990 triệu
103,86 m2,,2.0,2.0,Sổ hồng,18/07/2023,22243179," Tạ Quang Bửu, Phường 5, Quận 8, TPHCM",2 tỷ 890 triệu
